March,"Total
Hours","Billed
Hours","Pro Bono
Hours","Total Services
Billed","Total Expenses
Billed",data/pdfs/page-4/2022/March+2022+Invoice+Package(55204510.1).pdf
Rosenthal,50.1,39,11.1,"$18,525.00",$0.00,data/pdfs/page-4/2022/_November+2022+FINAL01.pdf
Thompson,68.7,55.8,12.9,"$26,505.00",$0.00,data/pdfs/page-4/2022/_November+2022+FINAL01.pdf
Aden,38.2,34.9,3.3,"$8,201.50",$0.00,data/pdfs/page-4/2022/_November+2022+FINAL01.pdf
Barge,27.8,25.1,2.7,"$5,898.50",$284.00,data/pdfs/page-4/2022/_November+2022+FINAL01.pdf
Bowman,16.8,16.8,0.0,"$3,948.00",$809.17,data/pdfs/page-4/2022/_November+2022+FINAL01.pdf
CJI: Wasileski,15.0,15.0,0.0,"$3,525.00",$0.00,data/pdfs/page-4/2022/_November+2022+FINAL01.pdf
CJI: Zafft,21.0,21.0,0.0,"$4,935.00",$0.00,data/pdfs/page-4/2022/_November+2022+FINAL01.pdf
Cole,1.3,1.3,0.0,$305.50,$0.00,data/pdfs/page-4/2022/_November+2022+FINAL01.pdf
Drake (CE),9.5,9.5,0.0,"$2,232.50",$0.00,data/pdfs/page-4/2022/_November+2022+FINAL01.pdf
Dupont,17.5,12.6,4.9,"$2,961.00",$0.00,data/pdfs/page-4/2022/_November+2022+FINAL01.pdf
Joyce,17.8,17.8,0.0,"$4,183.00",$0.00,data/pdfs/page-4/2022/_November+2022+FINAL01.pdf
McDonough,4.9,3.4,1.5,$799.00,$0.00,data/pdfs/page-4/2022/_November+2022+FINAL01.pdf
Meares,1.3,1.3,0.0,$305.50,$0.00,data/pdfs/page-4/2022/_November+2022+FINAL01.pdf
Rahr,18,18,0.0,"$4,230.00",$0.00,data/pdfs/page-4/2022/_November+2022+FINAL01.pdf
Ramsey,7.5,7.5,0.0,"$1,762.50",$0.00,data/pdfs/page-4/2022/_November+2022+FINAL01.pdf
Smoot,3.8,3.8,0.0,$893.00,$0.00,data/pdfs/page-4/2022/_November+2022+FINAL01.pdf
Villasenor,19.2,16.4,2.8,"$3,854.00",$0.00,data/pdfs/page-4/2022/_November+2022+FINAL01.pdf
Watts,17.3,14.3,3.0,"$3,360.50",$0.00,data/pdfs/page-4/2022/_November+2022+FINAL01.pdf
Wilfong,17.6,17.6,0.0,"$4,136.00",$0.00,data/pdfs/page-4/2022/_November+2022+FINAL01.pdf
Rose St. Community Ctr.,0.0,0.0,0.0,$0.00,"$8,500.00",data/pdfs/page-4/2022/_November+2022+FINAL01.pdf
Otis Warren Mgmt. Co.,0.0,0.0,0.0,$0.00,"$1,444.50",data/pdfs/page-4/2022/_November+2022+FINAL01.pdf
Total,373.3,331.1,42.2,"$100,560.50","$11,037.67",data/pdfs/page-4/2022/_November+2022+FINAL01.pdf
October,"Total
Hours","Billed
Hours","Pro
Bono
Hours","Total Services
Billed","Total
Expenses
Billed",data/pdfs/page-4/2022/_October+2022+FINAL.pdf
Rosenthal,91.3,68.6,22.7,"$32,585.00",$0.00,data/pdfs/page-4/2022/_October+2022+FINAL.pdf
Thompson,41.3,35,6.3,"$16,625.00",$0.00,data/pdfs/page-4/2022/_October+2022+FINAL.pdf
Aden,49,47.5,1.5,"$11,162.50",$0.00,data/pdfs/page-4/2022/_October+2022+FINAL.pdf
Barge,15.7,14.1,1.6,"$3,313.50",$284.11,data/pdfs/page-4/2022/_October+2022+FINAL.pdf
Bowman,32.2,32.2,0,"$7,567.00",$0.00,data/pdfs/page-4/2022/_October+2022+FINAL.pdf
CJI: Wasileski,20.0,20.0,0,"$4,700.00",$0.00,data/pdfs/page-4/2022/_October+2022+FINAL.pdf
CJI: Zafft,16.0,16.0,0,"$2,720.00",$0.00,data/pdfs/page-4/2022/_October+2022+FINAL.pdf
Donegan,1.7,1.7,0,$289.00,$0.00,data/pdfs/page-4/2022/_October+2022+FINAL.pdf
Drake (CE),6.8,6.8,0,"$1,598.00",$0.00,data/pdfs/page-4/2022/_October+2022+FINAL.pdf
Dupont,48.9,20.2,28.7,"$4,747.00","$1,109.16",data/pdfs/page-4/2022/_October+2022+FINAL.pdf
Goodrich,2.0,2.0,0,$470.00,$0.00,data/pdfs/page-4/2022/_October+2022+FINAL.pdf
McDonough,53.4,42.6,10.8,"$10,011.00",$0.00,data/pdfs/page-4/2022/_October+2022+FINAL.pdf
Meares,12.1,12.1,0,"$2,843.50",$0.00,data/pdfs/page-4/2022/_October+2022+FINAL.pdf
Joyce,12.4,12.4,0,"$2,914.00",$0.00,data/pdfs/page-4/2022/_October+2022+FINAL.pdf
O'Toole,1.5,1.5,0,$352.50,$0.00,data/pdfs/page-4/2022/_October+2022+FINAL.pdf
Rahr,10.0,10.0,0,"$2,350.00",$0.00,data/pdfs/page-4/2022/_October+2022+FINAL.pdf
Ramsey,41.0,41.0,0,"$9,635.00",$0.00,data/pdfs/page-4/2022/_October+2022+FINAL.pdf
Smoot,5.5,5.5,0,"$1,292.50",$0.00,data/pdfs/page-4/2022/_October+2022+FINAL.pdf
Villasenor,20.8,17.5,3.3,"$4,112.50",$0.00,data/pdfs/page-4/2022/_October+2022+FINAL.pdf
Watts,15.1,15.1,0,"$3,548.50",$0.00,data/pdfs/page-4/2022/_October+2022+FINAL.pdf
Wilfong,4.8,4.8,0,"$1,128.00",$0.00,data/pdfs/page-4/2022/_October+2022+FINAL.pdf
"The University
of Toronto",0,0,0,$0.00,"$9,622.80",data/pdfs/page-4/2022/_October+2022+FINAL.pdf
Total,501.5,426.6,74.9,"$123,964.50","$11,016.07",data/pdfs/page-4/2022/_October+2022+FINAL.pdf
July,"Total
Hours","Billed
Hours","Pro Bono
Hours","Total
Services
billed","Total
Expenses
Billed",data/pdfs/page-4/2022/_July+2022+Invoice+Packet_FINAL.pdf
Rosenthal,32.80,23.70,9.10,"$11,257.50",$0.00,data/pdfs/page-4/2022/_July+2022+Invoice+Packet_FINAL.pdf
Thompson,65.40,53.80,11.60,"$25,555.00",$0.00,data/pdfs/page-4/2022/_July+2022+Invoice+Packet_FINAL.pdf
Aden,30.60,28.10,2.50,"$6,603.50",$0.00,data/pdfs/page-4/2022/_July+2022+Invoice+Packet_FINAL.pdf
Barge,28.50,25.70,2.80,"$6,039.50",$281.11,data/pdfs/page-4/2022/_July+2022+Invoice+Packet_FINAL.pdf
Bowman,39.70,39.70,0.00,"$9,329.50",$0.00,data/pdfs/page-4/2022/_July+2022+Invoice+Packet_FINAL.pdf
CJI: Wasileski,30.00,30.00,0.00,"$7,050.00",$0.00,data/pdfs/page-4/2022/_July+2022+Invoice+Packet_FINAL.pdf
CJI: Zafft,12.00,12.00,0.00,"$2,040.00",$0.00,data/pdfs/page-4/2022/_July+2022+Invoice+Packet_FINAL.pdf
Donegan,27.50,27.50,0.00,"$4,675.00",$0.00,data/pdfs/page-4/2022/_July+2022+Invoice+Packet_FINAL.pdf
Dupont,20.40,16.10,4.30,"$3,783.50",$0.00,data/pdfs/page-4/2022/_July+2022+Invoice+Packet_FINAL.pdf
Goodrich,3.50,3.50,0.00,$822.50,$0.00,data/pdfs/page-4/2022/_July+2022+Invoice+Packet_FINAL.pdf
Joyce,20.80,20.80,0.00,"$4,888.00",$220.15,data/pdfs/page-4/2022/_July+2022+Invoice+Packet_FINAL.pdf
McDonough,25.60,23.30,2.30,"$5,475.50",$0.00,data/pdfs/page-4/2022/_July+2022+Invoice+Packet_FINAL.pdf
Meares,18.00,18.00,0.00,"$4,230.00",$0.00,data/pdfs/page-4/2022/_July+2022+Invoice+Packet_FINAL.pdf
Rahr,5.00,5.00,0.00,"$1,175.00",$0.00,data/pdfs/page-4/2022/_July+2022+Invoice+Packet_FINAL.pdf
Ramsey,8.50,8.50,0.00,"$1,997.50",$0.00,data/pdfs/page-4/2022/_July+2022+Invoice+Packet_FINAL.pdf
Villasenor,32.50,28.00,4.50,"$6,580.00",$0.00,data/pdfs/page-4/2022/_July+2022+Invoice+Packet_FINAL.pdf
Watts,9.90,9.90,0.00,"$2,326.50",$0.00,data/pdfs/page-4/2022/_July+2022+Invoice+Packet_FINAL.pdf
Wilfong,16.90,16.90,0.00,"$3,971.50",$0.00,data/pdfs/page-4/2022/_July+2022+Invoice+Packet_FINAL.pdf
Total,434.10,397.00,37.10,"$109,327.50",$501.26,data/pdfs/page-4/2022/_July+2022+Invoice+Packet_FINAL.pdf
January 2023,,Total,,,Billed,,,Pro Bono,,,Total Services,,,Total Expenses,,data/pdfs/page-4/2023/January+2023.pdf
,,Hours,,,Hours,,,Hours,,,Billed,,,Billed,,data/pdfs/page-4/2023/January+2023.pdf
Thompson,64.0,,,49.2,,,14.8,,,"$23,370.00",,,$0.00,,,data/pdfs/page-4/2023/January+2023.pdf
Shea,6.0,,,6.0,,,0.0,,,"$2,850.00",,,$0.00,,,data/pdfs/page-4/2023/January+2023.pdf
Aden,54.9,,,52.3,,,2.6,,,"$12,290.50",,,$0.00,,,data/pdfs/page-4/2023/January+2023.pdf
Barge,30.3,,,24.4,,,5.9,,,"$5,734.00",,,$639.88,,,data/pdfs/page-4/2023/January+2023.pdf
Bowman,26.2,,,26.2,,,0.0,,,"$6,157.00",,,$596.03,,,data/pdfs/page-4/2023/January+2023.pdf
CJI: Wasileski,22.5,,,22.5,,,0.0,,,"$5,287.50",,,$0.00,,,data/pdfs/page-4/2023/January+2023.pdf
CJI: Zafft,2.0,,,2.0,,,0.0,,,$470.00,,,$0.00,,,data/pdfs/page-4/2023/January+2023.pdf
Cole,3.2,,,3.2,,,0.0,,,$752.00,,,$0.00,,,data/pdfs/page-4/2023/January+2023.pdf
Dixon,13.7,,,13.7,,,0.0,,,"$3,219.50",,,$0.00,,,data/pdfs/page-4/2023/January+2023.pdf
Drake (CE),20.0,,,18.0,,,2.0,,,"$4,230.00",,,$0.00,,,data/pdfs/page-4/2023/January+2023.pdf
Dupont,17.7,,,12.1,,,5.6,,,"$2,843.50",,,$0.00,,,data/pdfs/page-4/2023/January+2023.pdf
Goodrich,1.0,,,1.0,,,0.0,,,$235.00,,,$0.00,,,data/pdfs/page-4/2023/January+2023.pdf
Joyce,5.3,,,5.3,,,0.0,,,"$1,245.50",,,$0.00,,,data/pdfs/page-4/2023/January+2023.pdf
Meares,6.5,,,6.5,,,0.0,,,"$1,527.50",,,$0.00,,,data/pdfs/page-4/2023/January+2023.pdf
"Neighborhood
Liaisons",375.7,,,372.7,,,3.0,,,"$7,454.00",,,$850.00,,,data/pdfs/page-4/2023/January+2023.pdf
Ramsey,12.5,,,12.5,,,0.0,,,"$2,937.50",,,$0.00,,,data/pdfs/page-4/2023/January+2023.pdf
Smith,6.7,,,4.7,,,2.0,,,"$1,104.50",,,$0.00,,,data/pdfs/page-4/2023/January+2023.pdf
Smoot,11.3,,,11.3,,,0.0,,,"$2,655.50",,,$0.00,,,data/pdfs/page-4/2023/January+2023.pdf
Villasenor,50.9,,,48.6,,,2.3,,,"$11,421.00",,,"$3,145.62",,,data/pdfs/page-4/2023/January+2023.pdf
Watts,14.2,,,14.2,,,0.0,,,"$3,337.00",,,$0.00,,,data/pdfs/page-4/2023/January+2023.pdf
Wilfong,25.0,,,25.0,,,0.0,,,"$5,875.00",,,$0.00,,,data/pdfs/page-4/2023/January+2023.pdf
Morgan State,0.0,,,0.0,,,0.0,,,$0.00,,,"$113,907.59",,,data/pdfs/page-4/2023/January+2023.pdf
Total,769.6,,,731.4,,,38.20,,,"$104,996.50",,,"$119,139.12",,,data/pdfs/page-4/2023/January+2023.pdf
October,"Total
Hours","Billed
Hours","Pro Bono
Hours","Total Services
Billed","Total Expenses
Billed",data/pdfs/page-4/2019/October+2019+Invoice+Package(48085011.1)-compressed.pdf
Thompson,88,58.9,29.1,"$27,977.50",$0.00,data/pdfs/page-4/2019/October+2019+Invoice+Package(48085011.1)-compressed.pdf
Rosenthal,80,37.4,42.6,"$17,765.00",$0.00,data/pdfs/page-4/2019/October+2019+Invoice+Package(48085011.1)-compressed.pdf
Aden,56,47,9,"$11,045.00",$60.00,data/pdfs/page-4/2019/October+2019+Invoice+Package(48085011.1)-compressed.pdf
Barge,20.6,20,0.6,"$4,700.00",$295.47,data/pdfs/page-4/2019/October+2019+Invoice+Package(48085011.1)-compressed.pdf
Bethel,35,30,5,"$7,050.00",$191.00,data/pdfs/page-4/2019/October+2019+Invoice+Package(48085011.1)-compressed.pdf
Drake,20.9,7.3,13.6,"$1,715.50",$0.00,data/pdfs/page-4/2019/October+2019+Invoice+Package(48085011.1)-compressed.pdf
Drake (Exec. Ass't),37.3,37.3,0,"$1,398.75",$0.00,data/pdfs/page-4/2019/October+2019+Invoice+Package(48085011.1)-compressed.pdf
Joyce,5,5,0,"$1,175.00",$0.00,data/pdfs/page-4/2019/October+2019+Invoice+Package(48085011.1)-compressed.pdf
Goodrich (+Sept),26,26,0,"$6,110.00",$687.73,data/pdfs/page-4/2019/October+2019+Invoice+Package(48085011.1)-compressed.pdf
Meares,4.7,4.7,0,"$1,104.50",$0.00,data/pdfs/page-4/2019/October+2019+Invoice+Package(48085011.1)-compressed.pdf
O'Toole,20.4,20.4,0,"$4,794.00",$0.00,data/pdfs/page-4/2019/October+2019+Invoice+Package(48085011.1)-compressed.pdf
Ramsey,46.9,34.4,12.5,"$8,084.00",$529.50,data/pdfs/page-4/2019/October+2019+Invoice+Package(48085011.1)-compressed.pdf
Smoot,37,25.5,11.5,"$5,992.50",$0.00,data/pdfs/page-4/2019/October+2019+Invoice+Package(48085011.1)-compressed.pdf
Villasenor,11.5,9.5,2,"$2,232.50",$0.00,data/pdfs/page-4/2019/October+2019+Invoice+Package(48085011.1)-compressed.pdf
Ray Kelly,25.4,18.1,7.3,"$4,253.50",$0.00,data/pdfs/page-4/2019/October+2019+Invoice+Package(48085011.1)-compressed.pdf
Darnyle Wharton,50.7,50.7,0,"$3,802.50",$0.00,data/pdfs/page-4/2019/October+2019+Invoice+Package(48085011.1)-compressed.pdf
Neighborhood Liaisons,109.7,109.7,0,"$2,194.00",$225.00,data/pdfs/page-4/2019/October+2019+Invoice+Package(48085011.1)-compressed.pdf
Dupont,36.2,16.4,19.8,"$3,854.00",$868.44,data/pdfs/page-4/2019/October+2019+Invoice+Package(48085011.1)-compressed.pdf
Bowman,14.9,14.9,0,"$3,501.50",$0.00,data/pdfs/page-4/2019/October+2019+Invoice+Package(48085011.1)-compressed.pdf
Maxey,39.7,24.2,15.5,"$5,687.00",$0.00,data/pdfs/page-4/2019/October+2019+Invoice+Package(48085011.1)-compressed.pdf
Total,726.2,597.4,168.5,"$124,436.75","$2,857.14",data/pdfs/page-4/2019/October+2019+Invoice+Package(48085011.1)-compressed.pdf
February,"Total
Hours","Billed
Hours","ProBono
Hours","Total Services
Billed","Total Expenses
Billed",data/pdfs/page-4/2019/February+2019+Invoice+Package-compressed.pdf
Thompson,44.3,15.3,29,"$7,267.50",$0.00,data/pdfs/page-4/2019/February+2019+Invoice+Package-compressed.pdf
Rosenthal,49.2,22.1,27.1,"$10,497.50",$0.00,data/pdfs/page-4/2019/February+2019+Invoice+Package-compressed.pdf
Aden,38,34,4,"$7,990.00",$0.00,data/pdfs/page-4/2019/February+2019+Invoice+Package-compressed.pdf
Barge,25.7,20.4,5.3,"$4,794.00",$374.14,data/pdfs/page-4/2019/February+2019+Invoice+Package-compressed.pdf
Bethel,13,9,4,"$2,115.00",$136.00,data/pdfs/page-4/2019/February+2019+Invoice+Package-compressed.pdf
Drake,21,8.7,12.3,"$2,044.50",$0.00,data/pdfs/page-4/2019/February+2019+Invoice+Package-compressed.pdf
Drake (Exec.Ass't),34.5,34.5,0,"$1,293.75",$0.00,data/pdfs/page-4/2019/February+2019+Invoice+Package-compressed.pdf
Joyce,8.8,7.8,1,"$1,833.00",$0.00,data/pdfs/page-4/2019/February+2019+Invoice+Package-compressed.pdf
Meares,1,1,0,$235.00,$0.00,data/pdfs/page-4/2019/February+2019+Invoice+Package-compressed.pdf
O'Toole,9.7,8.2,1.5,"$1,927.00",$0.00,data/pdfs/page-4/2019/February+2019+Invoice+Package-compressed.pdf
Ramsey,41.2,33.8,7.4,"$7,943.00",$305.00,data/pdfs/page-4/2019/February+2019+Invoice+Package-compressed.pdf
Smoot,33,14,19,"$3,290.00","$1,220.70",data/pdfs/page-4/2019/February+2019+Invoice+Package-compressed.pdf
Villasenor,7.8,7.8,0,"$1,833.00",$0.00,data/pdfs/page-4/2019/February+2019+Invoice+Package-compressed.pdf
RayKelly,19,19,0,"$4,465.00",$705.00,data/pdfs/page-4/2019/February+2019+Invoice+Package-compressed.pdf
DarnyleWharton,52.6,52.6,0,"$3,945.00",$0.00,data/pdfs/page-4/2019/February+2019+Invoice+Package-compressed.pdf
Neighborhood Liaisons,71,71,0,"$1,420.00",$150.00,data/pdfs/page-4/2019/February+2019+Invoice+Package-compressed.pdf
Dupont,16.9,8.1,8.8,"$1,903.50",$616.95,data/pdfs/page-4/2019/February+2019+Invoice+Package-compressed.pdf
Bowman,20.4,10,10.4,"$2,350.00",$0.00,data/pdfs/page-4/2019/February+2019+Invoice+Package-compressed.pdf
Parker,1.6,1.6,0,$400.00,$0.00,data/pdfs/page-4/2019/February+2019+Invoice+Package-compressed.pdf
TOTAL,508.7,378.9,129.8,"$67,546.75","$3,507.79",data/pdfs/page-4/2019/February+2019+Invoice+Package-compressed.pdf
September,"Total
Hours","Billed
Hours","Pro Bono
Hours","Total Services
Billed","Total Expenses
Billed",data/pdfs/page-4/2019/Invoice+Package+September+2019.pdf
Thompson,59.9,41.5,18.4,"$19,712.50",$0.00,data/pdfs/page-4/2019/Invoice+Package+September+2019.pdf
Rosenthal,42.2,32.1,10.1,"$15,247.50",$0.00,data/pdfs/page-4/2019/Invoice+Package+September+2019.pdf
Aden,41.5,38,3.5,"$8,930.00",$0.00,data/pdfs/page-4/2019/Invoice+Package+September+2019.pdf
Barge,32.9,32,0.9,"$7,520.00",$372.29,data/pdfs/page-4/2019/Invoice+Package+September+2019.pdf
Bethel,48,35,13,"$8,225.00",$0.00,data/pdfs/page-4/2019/Invoice+Package+September+2019.pdf
Drake,12.7,6,6.7,"$1,410.00",$0.00,data/pdfs/page-4/2019/Invoice+Package+September+2019.pdf
Drake (Exec. Ass't),40.5,40.5,0,"$1,518.75",$90.62,data/pdfs/page-4/2019/Invoice+Package+September+2019.pdf
Joyce,26.5,24.5,2,"$5,757.50",$0.00,data/pdfs/page-4/2019/Invoice+Package+September+2019.pdf
Meares,4.3,4.3,0,"$1,010.50",$0.00,data/pdfs/page-4/2019/Invoice+Package+September+2019.pdf
O'Toole,36.3,30.7,5.6,"$7,214.50",$0.00,data/pdfs/page-4/2019/Invoice+Package+September+2019.pdf
Ramsey,35.5,31.5,4,"$7,402.50",$0.00,data/pdfs/page-4/2019/Invoice+Package+September+2019.pdf
Smoot,57.2,37.7,19.5,"$8,859.50",$698.16,data/pdfs/page-4/2019/Invoice+Package+September+2019.pdf
Villasenor,18,18,0,"$4,230.00",$0.00,data/pdfs/page-4/2019/Invoice+Package+September+2019.pdf
Ray Kelly,25.2,19,6.2,"$4,465.00",$0.00,data/pdfs/page-4/2019/Invoice+Package+September+2019.pdf
Darnyle Wharton,50,50,0,"$3,750.00",$0.00,data/pdfs/page-4/2019/Invoice+Package+September+2019.pdf
Neighborhood Liaisons,102.7,102.7,0,"$2,054.00",$225.00,data/pdfs/page-4/2019/Invoice+Package+September+2019.pdf
Dupont,24.4,22,2.4,"$5,170.00",$0.00,data/pdfs/page-4/2019/Invoice+Package+September+2019.pdf
Bowman,20.2,19.2,1,"$4,512.00",$0.00,data/pdfs/page-4/2019/Invoice+Package+September+2019.pdf
Total,678,584.7,93.3,"$116,989.25","$1,386.07",data/pdfs/page-4/2019/Invoice+Package+September+2019.pdf
January,"Total
Hours","Billed
Hours","ProBono
Hours","Total Services
Billed","Total Expenses
Billed",data/pdfs/page-4/2019/January+2019+Invoice-compressed.pdf
Thompson,45.5,29.4,16.1,"$13,965.00",$0.00,data/pdfs/page-4/2019/January+2019+Invoice-compressed.pdf
Rosenthal,131.3,47,84.3,"$22,325.00",$0.00,data/pdfs/page-4/2019/January+2019+Invoice-compressed.pdf
Aden,42.5,37,5.5,"$8,695.00",$0.00,data/pdfs/page-4/2019/January+2019+Invoice-compressed.pdf
Barge,47.6,39.3,8.3,"$9,235.50",$967.49,data/pdfs/page-4/2019/January+2019+Invoice-compressed.pdf
Bethel,7,7,0,"$1,645.00",$108.00,data/pdfs/page-4/2019/January+2019+Invoice-compressed.pdf
Drake,22.9,8.3,14.6,"$1,950.50",$0.00,data/pdfs/page-4/2019/January+2019+Invoice-compressed.pdf
Drake (Exec.Ass’t),33.4,33.4,0,"$1,252.50",$189.20,data/pdfs/page-4/2019/January+2019+Invoice-compressed.pdf
Joyce,4.5,4.5,0,"$1,057.50",$0.00,data/pdfs/page-4/2019/January+2019+Invoice-compressed.pdf
Mears,4.3,4.3,0,"$1,010.50",$0.00,data/pdfs/page-4/2019/January+2019+Invoice-compressed.pdf
O’Toole,35.4,23.7,11.7,"$5,569.50","$1,488.81",data/pdfs/page-4/2019/January+2019+Invoice-compressed.pdf
Ramsey,39,29,10,"$6,815.00",$0.00,data/pdfs/page-4/2019/January+2019+Invoice-compressed.pdf
Smoot,48.5,27.5,21,"$6,462.50","$2,008.30",data/pdfs/page-4/2019/January+2019+Invoice-compressed.pdf
Villasenor,47.5,29.5,18,"$6,932.50","$1,221.21",data/pdfs/page-4/2019/January+2019+Invoice-compressed.pdf
RayKelly,37.5,31.5,0,"$7,402.50",$0.00,data/pdfs/page-4/2019/January+2019+Invoice-compressed.pdf
DarnyleWharton,79.1,79.1,0,"$5,932.50",$0.00,data/pdfs/page-4/2019/January+2019+Invoice-compressed.pdf
6Neighborhood Liaisons,71.4,71.4,0,"$1,428.00",$150.00,data/pdfs/page-4/2019/January+2019+Invoice-compressed.pdf
Dupont,34.1,15.6,18.5,"$3,666.00",$966.74,data/pdfs/page-4/2019/January+2019+Invoice-compressed.pdf
Bowman,17.1,5.4,11.7,"$1,269.00",$0.00,data/pdfs/page-4/2019/January+2019+Invoice-compressed.pdf
Parker,2.6,2.6,0,$650.00,$0.00,data/pdfs/page-4/2019/January+2019+Invoice-compressed.pdf
TOTAL,745.2,525.5,219.7,"$107,264.00","$7,099.75",data/pdfs/page-4/2019/January+2019+Invoice-compressed.pdf
April,"Total
Hours","Billed
Hours","ProBono
Hours","TotalServices
Billed","TotalExpenses
Billed",data/pdfs/page-4/2019/46935580-v1-April+2019+Invoice+Package-converted.pdf
Thompson,54.3,26.6,27.7,"$12,635.00",$0.00,data/pdfs/page-4/2019/46935580-v1-April+2019+Invoice+Package-converted.pdf
Rosenthal,60,40.5,19.5,"$19,237.50",$0.00,data/pdfs/page-4/2019/46935580-v1-April+2019+Invoice+Package-converted.pdf
Aden,64.5,56,8.5,"$13,160.00",$0.00,data/pdfs/page-4/2019/46935580-v1-April+2019+Invoice+Package-converted.pdf
Barge,27.3,25,2.3,"$5,875.00",$282.94,data/pdfs/page-4/2019/46935580-v1-April+2019+Invoice+Package-converted.pdf
Bethel,15.5,15.5,0,"$3,642.50",$0.00,data/pdfs/page-4/2019/46935580-v1-April+2019+Invoice+Package-converted.pdf
Drake,16.5,9.8,6.7,"$2,303.00",$0.00,data/pdfs/page-4/2019/46935580-v1-April+2019+Invoice+Package-converted.pdf
Drake (Exec.Ass't),43.4,43.4,0,"$1,627.50",$0.00,data/pdfs/page-4/2019/46935580-v1-April+2019+Invoice+Package-converted.pdf
Joyce,21,21,0,"$4,935.00",$161.40,data/pdfs/page-4/2019/46935580-v1-April+2019+Invoice+Package-converted.pdf
Meares,18,9,9,"$2,115.00",$380.59,data/pdfs/page-4/2019/46935580-v1-April+2019+Invoice+Package-converted.pdf
O’Toole,4.7,4.7,0,"$1,104.50",$0.00,data/pdfs/page-4/2019/46935580-v1-April+2019+Invoice+Package-converted.pdf
Ramsey,51.1,45.2,5.9,"$10,622.00",$226.95,data/pdfs/page-4/2019/46935580-v1-April+2019+Invoice+Package-converted.pdf
Smoot,77.5,58.5,19,"$13,747.50","$1,956.53",data/pdfs/page-4/2019/46935580-v1-April+2019+Invoice+Package-converted.pdf
Villasenor,33.8,27.8,6,"$6,533.00",$0.00,data/pdfs/page-4/2019/46935580-v1-April+2019+Invoice+Package-converted.pdf
RayKelly,19,19,0,"$4,465.00",$0.00,data/pdfs/page-4/2019/46935580-v1-April+2019+Invoice+Package-converted.pdf
DarnyleWharton,49.2,49.2,0,"$3,690.00",$0.00,data/pdfs/page-4/2019/46935580-v1-April+2019+Invoice+Package-converted.pdf
NeighborhoodLiaisons,118.3,118.3,0,"$2,366.00",$225.00,data/pdfs/page-4/2019/46935580-v1-April+2019+Invoice+Package-converted.pdf
Dupont,58.1,25.1,33,"$5,898.50",$971.80,data/pdfs/page-4/2019/46935580-v1-April+2019+Invoice+Package-converted.pdf
Bowman,26.5,23,3.5,"$5,405.00",$0.00,data/pdfs/page-4/2019/46935580-v1-April+2019+Invoice+Package-converted.pdf
Parker,9.7,9.7,0,"$2,425.00",$0.00,data/pdfs/page-4/2019/46935580-v1-April+2019+Invoice+Package-converted.pdf
Total,768.4,627.3,141.1,"$121,787.00","$4,205.21",data/pdfs/page-4/2019/46935580-v1-April+2019+Invoice+Package-converted.pdf
July,"Total
Hours","Billed
Hours","ProBono
Hours","TotalServices
Billed","TotalExpenses
Billed",data/pdfs/page-4/2019/July+2019+Invoice+Package(47648817.1)-converted.pdf
Thompson,67.5,48.7,18.8,"$23,132.50",$0.00,data/pdfs/page-4/2019/July+2019+Invoice+Package(47648817.1)-converted.pdf
Rosenthal,99.7,64.9,34.8,"$30,827.50",$0.00,data/pdfs/page-4/2019/July+2019+Invoice+Package(47648817.1)-converted.pdf
Aden,74.5,60.5,14,"$14,217.50",$0.00,data/pdfs/page-4/2019/July+2019+Invoice+Package(47648817.1)-converted.pdf
Barge,48.8,42.3,6.5,"$9,940.50",$812.86,data/pdfs/page-4/2019/July+2019+Invoice+Package(47648817.1)-converted.pdf
Bethel,15.5,15.5,0,"$3,642.50",$156.00,data/pdfs/page-4/2019/July+2019+Invoice+Package(47648817.1)-converted.pdf
Drake,20.7,7.2,13.5,"$1,692.00",$0.00,data/pdfs/page-4/2019/July+2019+Invoice+Package(47648817.1)-converted.pdf
Drake (Exec.Ass't),33.5,33.5,0,"$1,256.25",$372.17,data/pdfs/page-4/2019/July+2019+Invoice+Package(47648817.1)-converted.pdf
Joyce,65.8,47.8,18,"$11,233.00",$456.84,data/pdfs/page-4/2019/July+2019+Invoice+Package(47648817.1)-converted.pdf
Meares,1.9,1.9,0,$446.50,$0.00,data/pdfs/page-4/2019/July+2019+Invoice+Package(47648817.1)-converted.pdf
O'Toole,59.9,40.3,19.6,"$9,470.50","$1,503.16",data/pdfs/page-4/2019/July+2019+Invoice+Package(47648817.1)-converted.pdf
Ramsey,33.8,27.9,5.9,"$6,556.50",$0.00,data/pdfs/page-4/2019/July+2019+Invoice+Package(47648817.1)-converted.pdf
Smoot,59.5,41.5,18,"$9,752.50","$1,111.52",data/pdfs/page-4/2019/July+2019+Invoice+Package(47648817.1)-converted.pdf
Villasenor,49,33,16,"$7,755.00","$1,645.53",data/pdfs/page-4/2019/July+2019+Invoice+Package(47648817.1)-converted.pdf
RayKelly,36.35,24,12.35,"$5,640.00",$0.00,data/pdfs/page-4/2019/July+2019+Invoice+Package(47648817.1)-converted.pdf
DarnyleWharton,33.6,33.6,0,"$2,520.00",$0.00,data/pdfs/page-4/2019/July+2019+Invoice+Package(47648817.1)-converted.pdf
NeighborhoodLiaisons,103.3,103.3,0,"$2,066.00",$225.00,data/pdfs/page-4/2019/July+2019+Invoice+Package(47648817.1)-converted.pdf
